objectid,name,problems,district,group_d,status_num,status_detail,detail,remark,สพน,สคน,กรบ,กรท,เขต,x,y
163,สุสานโปรแตสแตน (ถนนเจริญกรุง),น้ำหนุน,บางคอแหลม,กรุงเทพใต้,5,แก้ไขแล้วเสร็จ,ได้รับผลกระทบจากน้ำทะเลหนุนสูง ล้นทะลักเข้าถนนเจริญกรุง,,1. งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยาบริเวณสุสานโปรเตสแตนด์ซอยเจริญกรุง 72/5 #เเล้วเสร็จ,,,,,100.504509,13.70696545
164,ท่าเรือสี่พระยา,น้ำหนุน,บางรัก,กรุงเทพใต้,5,แก้ไขแล้วเสร็จ,ได้รับผลกระทบจากน้ำเหนือไหลหลากและน้ำทะเลหนุนน้ำจะไหลผ่านแนวฟันหลอ จะไหลซึมบริเวณทางเดิน,,1. งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณท่าเรือสี่พระยาถนนเจริญกรุง ซอย 30 #เเล้วเสร็จ,,,,,100.5131683,13.72859287
165,ชุมชนโรงงานแบตเตอรี่ทหาร,น้ำหนุน,บางนา,กรุงเทพใต้,3,อยู่ระหว่างดำเนินการแก้ไข,พื้นที่อยู่ในคันป้องกันน้ำท่วม กทม. ระดับน้ำหนุนสูงซึมผ่านคันป้องกันน้ำท่วม กทม.เข้าบริเวณท่อระบายน้ำชุมชนโรงงานแบตเตอรี่ทหาร,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณสถานีสูบน้ำคลองบางนาถึงกรมสรรพาวุธทหารเรือ #ของบ,,,,,100.5855103,13.67396259
166,ท่าน้ำวัดบางนานอก (ช่วงจากถนนสรรพาวุธถึงท่าน้ำวัดบางนานอก),น้ำหนุน,บางนา,กรุงเทพใต้,3,อยู่ระหว่างดำเนินการแก้ไข,พื้นที่อยู่ในคันป้องกันน้ำท่วม กทม. ระดับน้ำหนุนสูงซึมผ่านคันป้องกันน้ำท่วม กทม.เข้าบริเวณท่อระบายน้ำท่าน้ำวัดบางนานอก,,1. งานปรับปรุงเเนวป้องกันน้ำท่วมริมเเม่น้ำเจ้าพระยา บริเวณสถานีสูบน้ำคลองบางนาถึงกรมสรรพาวุธทหารเรือ #ของบ,,,,,100.5877838,13.67686844
167,พระราม 3 ซอย 26,น้ำหนุน,ยานนาวา,กรุงเทพใต้,3,อยู่ระหว่างดำเนินการแก้ไข,ยกเลิกเนื่องจากบริษัทเอกชนเข้าไปปรับปรุงพื้นที่,,1. งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณถนนพระรามที่ 3 ซอย 26 #ก่อสร้าง,,,,,100.5206451,13.68303204
168,บริเวณคอนโด เดอะ วอเตอร์ฟอร์ด สุขุมวิท 50 ถึงสถานีสูบน้ำคลองยายล้อม,น้ำหนุน,คลองเตย,กรุงเทพใต้,3,อยู่ระหว่างดำเนินการแก้ไข,พื้นที่อยู่ในคันป้องกันน้ำท่วม กทม. ระดับน้ำหนุนสูงซึมผ่านคันป้องกันน้ำท่วม,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมคลองพระโขนง บริเวณคอนโด เดอะ วอเตอร์ฟอร์ด สุขุมวิท 50 ถึงสถานีสูบน้ำคลองยายล้อม #ก่อสร้าง,,,,,100.5940552,13.70893764
169,พระราม 3 ซอย 52- 56,น้ำหนุน,ยานนาวา,กรุงเทพใต้,3,อยู่ระหว่างดำเนินการแก้ไข,แนวริมแม่น้ำเจ้าพระยา (น้ำเหนือ/น้ำหนุน),,1. โครงการก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณถนนพระราม 3 ซอย 52 ถึงประตูระบายน้ำลำกระโดงสาธารณะข้างเชียงกง ถนนพระราม 3 ซอย 56 #ก่อสร้าง,,,,,100.5507507,13.68780231
170,บริเวณปลายซอยราษฎร์บูรณะ 11,น้ำหนุน,ราษฎร์บูรณะ,กรุงธนใต้,5,แก้ไขแล้วเสร็จ,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณปลายซอยราษฎร์บูรณะ 11 #เเล้วเสร็จ,,,,,100.4902344,13.6913147
171,บริเวณโกดังบริษัท แสงทองค้าข้าว จำกัด,น้ำหนุน,ราษฎร์บูรณะ,กรุงธนใต้,5,แก้ไขแล้วเสร็จ,แนวฟันหลอริมแม่น้ำเจ้าพระยา,,งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณโกดัง บริษัท แสงทองค้าข้าว จำกัด #เเล้วเสร็จ,,,,,100.5016556,13.68478489
172,บริเวณท่าดินแดง,น้ำหนุน,คลองสาน,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณท่าดินแดง #เเล้วเสร็จ,,,,,100.5033722,13.73684502
173,ปลายลำกระโดงซอยสมเด็จเจ้าพระยา 17,น้ำหนุน,คลองสาน,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,ช่องประตูระบายน้ำ,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณวัดทองนพคุณ #เเล้วเสร็จ,,,,,100.5103607,13.73229027
174,บริเวณทางเดินท่าเรือปากคลองสาน และ ซอยเจริญนคร 3 (ท้ายคลองเทพา),น้ำหนุน,คลองสาน,กรุงธนเหนือ,3,อยู่ระหว่างดำเนินการแก้ไข,เป็นทางเดินเลียบคลอง,,1. งานก่อสร้างประตูระบายน้ำริมแม่น้ำเจ้าพระยา บริเวณปากคลองสาน #ก่อสร้าง,,,,,100.5114365,13.72920132
175,บริเวณท่าเรือวัดสุวรรณ เจริญนคร 9,น้ำหนุน,คลองสาน,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,ช่องท่าเรือเอกชน,,สำนักงานระบบควบคุมน้ำ สำนักการระบายน้ำ ดำเนินการเเก้ไชปัญหารั่วซึมบริเวณประตูระบายน้ำเเล้วเสร็จ #เเล้วเสร็จ,,,,,100.5117493,13.7239933
176,บริเวณท่าเรือแกรด์เพิร์ล ซอยเจริญนคร 13,น้ำหนุน,คลองสาน,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,ช่องท่าเรือเอกชน,,1. งานซ่อมเเซมบานประตูท่อรั่วซึม #เเล้วเสร็จ,,,,,100.511528,13.72168446
177,บริเวณท่าเรือเศวตฉัตร,น้ำหนุน,คลองสาน,กรุงธนเหนือ,1,มีมาตรการเร่งด่วน,แนวป้องกันน้ำท่วมรั่วซึม,,"1. ดำเนินการเรียงกระสอบเพื่อเป็นเเนวป้องกันน้ำท่วมชั่วคราว 
(ประชาชนไม่ยินยอมให้ดำเนินการเเก้ไข) #สำรวจ",,,,,100.5070419,13.71281242
178,"ท่าเรือกินซ่า ซอยเจริญนคร 35, 37 และบริเวณบ้านเลขที่ 1575/37 ซอยเจริญนคร 35-37",น้ำหนุน,คลองสาน,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณปลายซอยเจริญนคร 35 ถึงปลายซอยเจริญนคร 37 #เเล้วเสร็จ,,,,,100.5040512,13.71016598
179,บริเวณปลายซอยเจริญนคร 29/2 อู่เรือระหิน,น้ำหนุน,คลองสาน,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณปลายซอยเจริญนคร 29/2 #เเล้วเสร็จ,,,,,100.5055161,13.7113409
180,บริเวณโรงเหล็ก ซอยเจริญนคร 39,น้ำหนุน,คลองสาน,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,ช่องอู่ต่อเรือ,,1. งานซ่อมแซมแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณปลายซอยเจริญนคร 39 #เเล้วเสร็จ,,,,,100.5023422,13.70899487
181,ศาลเจ้าเกียนอันเกง แขวงวัดกัลยาณ์ และ โบสถ์ซางตาครู้ส แขวงวัดกัลยาณ์,น้ำหนุน,ธนบุรี,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานซ่อมแซมแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณชุมชนวัดกัลยาณมิตร #เเล้วเสร็จ,,,,,100.4941254,13.739645
182,ใต้สะพานพุทธยอดฟ้าจุฬาโลกมหาราช (แนวของ ทช.),น้ำหนุน,คลองสาน,กรุงธนเหนือ,1,มีมาตรการเร่งด่วน,ช่องเปิดท่าเรือ เเละเป็นเเนวป้องกันน้ำท่วมของกรมทางหลวงชนบท,,1. งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณสมาคมอุตสาหกรรมพลาสติกไทย #สำรวจ,,,,,100.4975204,13.73838615
183,ทางกลับรถใต้สะพานกรุงเทพ,น้ำหนุน,ธนบุรี,กรุงธนเหนือ,1,มีมาตรการเร่งด่วน,ช่องเปิดใต้สะพาน ของกรมทางหลวง,,1. งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณสมาคมอุตสาหกรรมพลาสติกไทย #สำรวจ,,,,,100.4905396,13.70172501
184,บริเวณข้างวัดระฆังโฆสิตาราม,น้ำหนุน,บางกอกน้อย,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวฟันหลอริมแม่น้ำเจ้าพระยา,,1. งานก่อสร้าประตูระบายน้ำ บริเวณวัดระฆังโฆษิตารามวรมหาวิหาร ริมแม่น้ำเจ้าพระยา #เเล้วเสร็จ,,,,,100.4865341,13.7520752
185,คลังสินค้าธนบุรี อุงค์การคลังสินค้าแขวงบุคคโล,น้ำหนุน,ธนบุรี,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวฟันหลอริมแม่น้ำเจ้าพระยา,,1. งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณองค์การคลังสินค้ากระทรวงพาณิชย์ ธนบุรี ช่วงจากโกดังนำฟ้าถึงวัดกลางดาวคะนอง #เเล้วเสร็จ,,,,,100.4889221,13.69761372
186,อู่เรือกัปตัน (ท่าเรือเอกชน),น้ำหนุน,บางกอกน้อย,กรุงธนเหนือ,3,อยู่ระหว่างดำเนินการแก้ไข,แนวฟันหลอริมแม่น้ำเจ้าพระยา,,1. งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณอู่เรือกัปตัน #ของบ,,,,,100.4892502,13.76185131
187,วัดสุวรรณาราม (เขตเก่า) และชุมชนบ้านบุ,น้ำหนุน,บางกอกน้อย,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวฟันหลอริมแม่น้ำเจ้าพระยา,,1. งานก่อสร้างและปรับปรุงแนวป้องกันน้ำท่วมริมคลองบางกอกน้อย ช่วงวัดสุวรรณารามถึงสะพานอรุณอมรินทร์ #เเล้วเสร็จ,,,,,100.4789276,13.76264191
188,บริเวณปากคลองชักพระ,น้ำหนุน,บางกอกน้อย,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมคคลองบางกอกน้อยและคลองชักพระ ช่วงคลองแกลบถึงคลองศาลเจ้าแม่ทับทิม #เเล้วเสร็จ,,,,,100.4675446,13.77944565
189,บริเวณชุมชนวัดสุวรรณคีรี,น้ำหนุน,บางกอกน้อย,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมคลองบางกอกน้อย ช่วงคลองพิกุลถึงคลองเพรสซิเด้นท์คอนโด #เเล้วเสร็จ,,,,,100.467598,13.77997684
190,ชุนวังหลัง,น้ำหนุน,บางกอกน้อย,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,รั่วซึมริมแม่น้ำเจ้าพระยา,,1. งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณชุมชนวังหลังข้างวัดระฆังโฆษิตาราม #เเล้วเสร็จ,,,,,100.4866486,13.75456715
191,โรงเลื่อยไทยยูเนี่ยน,น้ำหนุน,บางพลัด,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวฟันหลอริมแม่น้ำเจ้าพระยา,,1. งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา ช่วงสะพานพระราม 6 ถึงวัดวิมุตยาราม #เเล้วเสร็จ,,,,,100.5157623,13.810359
192,มัสยิดดารุลอิหฺซาน - ท่าเรือวัดฉัตร,น้ำหนุน,บางพลัด,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวฟันหลอริมแม่น้ำเจ้าพระยา,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา ช่วงมัสยิดดารุ้ลอิหซานถึงวัดฉัตรแก้วจงกลณี #เเล้วเสร็จ,,,,,100.515892,13.80289268
193,ท่าเรือวัดอาวุธวิกสิตารม,น้ำหนุน,บางพลัด,กรุงธนเหนือ,3,อยู่ระหว่างดำเนินการแก้ไข,แนวป้องกันน้ำท่วมรั่วซึม,,"1. งานก่อสร้างพื้นดาดและผนังดาด ค.ส.ล. คลองบางพลัด #ของบ
",,,,,100.5068588,13.78947639
194,ท่าเรือวัดเทพากร,น้ำหนุน,บางพลัด,กรุงธนเหนือ,3,อยู่ระหว่างดำเนินการแก้ไข,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานก่อสร้างพื้นดานเเละผนังดาด ค.ส.ล. คลองบางพลู #ของบ,,,,,100.5033798,13.78560257
195,ท่าเรือวัดเทพนารี,น้ำหนุน,บางพลัด,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,ได้รับผลกระทบจากน้ำเหนือและน้ำทะเลหนุนเนื่องจากแนวป้องกันน้ำท่วมของกทม. ชำรุดและแนวป้องกันของเอกชนชำรุดเกิดเเนวฟันหลอริมแม่น้ำเจ้าพระยา,,1. งานก่อสร้างและปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณปลายซอยจรัญสนิทวงศ์ 68 ถึงชุมชนวัดเทพนารี #เเล้วเสร็จ,,,,,100.502327,13.78407001
196,ร้านอาหารริเวอร์ บาร์,น้ำหนุน,บางพลัด,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวฟันหลอริมแม่น้ำเจ้าพระยา,,1. งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณร้านอาหารขนาบน้ำและร้านอาหารริเวอร์บาร์ #เเล้วเสร็จ,,,,,100.5012894,13.78224754
197,อู่เรือ บ.สุภัทรา จรัญสนิทวงศ์ 46,น้ำหนุน,บางพลัด,กรุงธนเหนือ,3,อยู่ระหว่างดำเนินการแก้ไข,แนวป้องกันน้ำท่วมรั่วซึม,,1.ปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณปลายซอยจรัญสนิทวงศ์ 46 จากอู่เรือสุภัทรา ถึงปตร.วัดบวรมงคล #ของบ,,,,,100.4987335,13.77624512
198,อู่เรือธนาคารกรุงเทพ/อู่เรือธนาคารออมสิน,น้ำหนุน,บางพลัด,กรุงธนเหนือ,1,มีมาตรการเร่งด่วน,เเนวของเอกชนหรือหน่วยงานราชการ,,"ไม่สามารถดำเนินการได้ เนื่องจากเจ้าของพื้นที่ยังไม่ยินยอมให้ดำเนินการ #สำรวจ
(เเก้ไขด้วยการเรียงกระสอบทรายเป็นเเนวป้องกันน้ำท่วมชั่วคราว)",,,,,100.4921341,13.76433468
199,วัดวิมุตยาราม,น้ำหนุน,บางพลัด,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวฟันหลอริมแม่น้ำเจ้าพระยา,,1. งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา ช่วงสะพานพระราม 6 ถึงวัดวิมุตยาราม #เเล้วเสร็จ,,,,,100.5148392,13.81173134
200,ซอยจรัญสนิทวงศ์ 92,น้ำหนุน,บางพลัด,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา ช่วงคลองสะพานยาวถึงคลองมอญ #เเล้วเสร็จ,,,,,100.5148773,13.79970551
201,ท่าเรือพระปิ่นเกล้า,น้ำหนุน,บางพลัด,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,เเนวของเอกชนหรือหน่วยงานราชการ,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณคลองเจ้าครุฑ #เเล้วเสร็จ,,,,,100.490036,13.76282215
202,วัดน้อยใน,น้ำหนุน,ตลิ่งชัน,กรุงธนเหนือ,3,อยู่ระหว่างดำเนินการแก้ไข,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมคลองบางกอกน้อย บริเวณวัดน้อยใน #ของบ,,,,,100.4668225,13.79164305
203,ท่าเรือวัดดาวดึงษาราม,น้ำหนุน,บางพลัด,กรุงธนเหนือ,1,มีมาตรการเร่งด่วน,แนวป้องกันน้ำท่วมรั่วซึม,,"ไม่สามารถดำเนินการได้ เนื่องจากเจ้าของพื้นที่ยังไม่ยินยอมให้ดำเนินการ #สำรวจ
(เเก้ไขด้วยการเรียงกระสอบทรายเป็นเเนวป้องกันน้ำท่วมชั่วคราว)",,,,,100.4933853,13.76547337
204,ซอยชัยพฤกษ์ 33 โรงน้ำแข็ง,น้ำหนุน,บางกอกน้อย,กรุงธนเหนือ,3,อยู่ระหว่างดำเนินการแก้ไข,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณกรมอู่ทหารเรือ #ก่อสร้าง,,,,,100.4641037,13.79696465
205,ซอยชัยพฤกษ์ 16,น้ำหนุน,ตลิ่งชัน,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานซ่อมแซมแนวป้องกันน้ำท่วมริมคลองบางกอกน้อย บริเวณท้ายซอยชัยพฤกษ์ 16 #เเล้วเสร็จ,,,,,100.4663315,13.78981781
206,สวนผัก 8 และ สวนผัก 6,น้ำหนุน,ตลิ่งชัน,กรุงธนเหนือ,3,อยู่ระหว่างดำเนินการแก้ไข,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมคลองมหาสวัสดิ์ ช่วงซอยสวนผัก 6 ถึงซอยสวนผัก 8 #ของบ,,,,,100.4573135,13.79817104
207,วัดไก่เตี้ย โรงเรียนวัดไก่เตี้ย และ ศาลเจ้าแม่ทับทิมซอยชัยพฤกษ์ 2,น้ำหนุน,ตลิ่งชัน,กรุงธนเหนือ,3,อยู่ระหว่างดำเนินการแก้ไข,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา ช่วงคลองศาลเจ้าแม่ทัยทิมถึงคลองวัดไก่เตี้ย #ก่อสร้าง,,,,,100.4661484,13.78310966
208,บริเวณบ้านเคียงศิริ,น้ำหนุน,คลองสาน,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณวัดทองนพคุณ #เเล้วเสร็จ,,,,,100.5091782,13.73422909
209,ท่าเรือวัดทองนพคุณ,น้ำหนุน,คลองสาน,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,ช่องท่าเรือ,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณวัดทองนพคุณ #เเล้วเสร็จ,,,,,100.5092773,13.73403072
210,วัดเทพากร,น้ำหนุน,ตลิ่งชัน,กรุงธนเหนือ,3,อยู่ระหว่างดำเนินการแก้ไข,แนวป้องกันน้ำท่วมรั่วซึม,,1. งานก่อสร้างพื้นดานเเละผนังดาด ค.ส.ล. คลองบางพลู #ของบ,,,,,100.4656677,13.78713322
211,ท่าเรือวัดทองธรรมชาติ และ ท่าน้ำสมาคม “เต็กก่า” จีจินเกาะ,น้ำหนุน,คลองสาน,กรุงธนเหนือ,3,อยู่ระหว่างดำเนินการแก้ไข,แนวป้องกันน้ำท่วมรั่วซึม,,1.โครงการปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา ช่วงถนนท่าดินแดงถึงคลองวัดทองธรรมชาติ #ของบ,,,,,100.5082016,13.73492908
212,บ้านพักตำรวจน้ำ ซอยเจริญนคร 53,น้ำหนุน,คลองสาน,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,เเนวของเอกชนหรือหน่วยงานราชการ,,งานซ่อมแซมแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณปลายซอยเจริญนคร 53 #เเล้วเสร็จ,,,,,100.5118484,13.72569561
213,ชุมชนบ้านปูน,น้ำหนุน,บางพลัด,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,แนวป้องกันน้ำท่วมรั่วซึม,,"1.งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา ช่วงสะพานพระราม 8 ถึงวัดคฤหบดี #ของบ
2. งานซ่อมแซมแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณชุมชนบ้านปูน #เเล้วเสร็จ",,,,,100.4969177,13.77169037
214,โรงเลื่อย ซอยจรัญสนิทวงศ์ 86/1,น้ำหนุน,บางพลัด,กรุงธนเหนือ,3,อยู่ระหว่างดำเนินการแก้ไข,แนวฟันหลอริมแม่น้ำเจ้าพระยา,,1. งานก่อสร้างและปรับปรุงแนวป้องกันน้ำท่วม ช่วงคลองมอญถึงคลองเตาอิฐ #ของบ,,,,,100.5123749,13.79544449
215,บริเวณสวนสาธารณะใต้สะพานพระราม 7,น้ำหนุน,บางซื่อ,กรุงเทพเหนือ,1,มีมาตรการเร่งด่วน,เเนวของเอกชนหรือหน่วยงานราชการ,,ดำเนินการเรียงกระสอบทรายเพื่อเป็นเเนวป้องกันน้ำท่วมชั่วคราว,,,,,100.5148087,13.81493664
216,ศาลเจ้าโรงเกือก (ฟันหลอ),น้ำหนุน,สัมพันธวงศ์,กรุงเทพกลาง,5,แก้ไขแล้วเสร็จ,ได้รับผลกระทบจากน้ำเหนือและน้ำทะเลหนุนจากแนวฟันหลอริมแม่น้ำ,,1. งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณศาลเจ้าโรงเกือก,,,,,100.5119247,13.73287678
217,วัดปทุมคงคาราชวรวิหาร สัมพันธวงศ์ (ฟันหลอ),น้ำหนุน,สัมพันธวงศ์,กรุงเทพกลาง,5,แก้ไขแล้วเสร็จ,ได้รับผลกระทบจากน้ำเหนือและน้ำทะเลหนุนจากแนวฟันหลอริมแม่น้ำ,,1. งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณวัดปทุมคงคาราชวรวิหาร #เเล้วเสร็จ,,,,,100.5106659,13.73538685
218,บริเวณซอยเจริญกรุง 58 (องค์การสะพานปลา) (ฟันหลอ),น้ำหนุน,สาทร,กรุงเทพใต้,5,แก้ไขแล้วเสร็จ,ได้รับผลกระทบจากน้ำทะเลหนุนสูง มีน้ำขั้งสูง 20-25 ซม. ยาว 150 ม.,,1. งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณองค์การสะพานปลา กรุงเทพ ถนนเจริญกรุง #เเล้วเสร็จ,,,,,100.5110245,13.71449661
219,ศาลเจ้ากวนอู ซอยสมเด็จเจ้าพระยา 3 และ บ้านเลขที่ 380 (บ้านเสี่ยเสริฐ) ซอยสมเด็จเจ้าพระยา 3,น้ำหนุน,คลองสาน,กรุงธนเหนือ,5,แก้ไขแล้วเสร็จ,กรท. เข้าไปซ่อมบานประตูท่อที่เป็นปัญหาน้ำรั่วเรียบร้อยแล้ว,,กองระบบท่อระบายน้ำ สำนักการระบายน้ำ เข้าไปซ่อมบานประตูท่อที่เป็นปัญหาน้ำรั่วเรียบร้อยแล้ว #เเล้วเสร็จ,,,,,100.501442,13.73742771
220,ดจันทร์สโมสร (ฟันหลอ),น้ำหนุน,ดุสิต,กรุงเทพกลาง,1,มีมาตรการเร่งด่วน,แนวฟันหลอริมแม่น้ำเจ้าพระยา,,"งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยา บริเวณวัดจันทร์สโมสร #สำรวจ
(วัดไม่ยอมให้ดำเนินการก่อสร้างเเนวป้องกันน้ำท่วมถาวร)",,,,,100.5129929,13.79225922
221,วัดแก้วฟ้าจุฬามณี,น้ำหนุน,ดุสิต,กรุงเทพกลาง,5,แก้ไขแล้วเสร็จ,เขื่อนริมแม่น้ำเจ้าพระยาชำรุดบริเวณวัดแก้วฟ้าจุฬามณี,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยาบริเวณวัดแก้วฟ้าจุฬามณี #เเล้วเสร็จ,,,,,100.5174408,13.79946327
222,ท้ายซอยสามเสน 11,น้ำหนุน,ดุสิต,กรุงเทพกลาง,3,อยู่ระหว่างดำเนินการแก้ไข,เขื่อนริมแม่น้ำเจ้าพระยาชำรุดบริเวณท้ายซอยสามเสน 11,,1. งานปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยาบริเวณท้ายซอยสามเสน 11 ถึงสะพานกรุงธน #ก่อสร้าง,,,,,100.5033188,13.77887535
223,ท่าเรือเทเวศร์ (ฟันหลอ),น้ำหนุน,พระนคร,กรุงเทพกลาง,5,แก้ไขแล้วเสร็จ,เขื่อนริมแม่น้ำเจ้าพระยาชำรุดบริเวณท่าเรือเทเวศร์,,1. งานก่อสร้างแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยาบริเวณท่าเรือเทเวศร์ #เเล้วเสร็จ,,,,,100.5002289,13.771945
224,ร้านอาหารโรงรส (ฟันหลอ),น้ำหนุน,พระนคร,กรุงเทพกลาง,1,มีมาตรการเร่งด่วน,แนวฟันหลอริมแม่น้ำเจ้าพระยา,,ดำเนินการเรียงกระสอบทรายเพื่อเป็นเเนวป้องกันน้ำท่วมชั่วคราว,,,,,100.4916916,13.74421978
